2020-10-22-21:44:55 ---epoch:0,train_query_loss:0,val_hr:0.2304635761589404,val_ndcg:0.13334652378818196
2020-10-22-21:47:00 ---epoch:0,train_query_loss:119065.5703125,val_hr:0.23112582781456953,val_ndcg:0.13434901445652642
2020-10-22-21:50:21 ---epoch:1,train_query_loss:98835.578125,val_hr:0.22847682119205298,val_ndcg:0.13313810750511187
2020-10-22-21:52:44 ---epoch:2,train_query_loss:92894.421875,val_hr:0.22582781456953643,val_ndcg:0.13216410766105088
2020-10-22-21:56:53 ---epoch:3,train_query_loss:92208.1796875,val_hr:0.22483443708609271,val_ndcg:0.13158978317186515
2020-10-22-21:59:07 ---epoch:4,train_query_loss:91952.890625,val_hr:0.2228476821192053,val_ndcg:0.1307974562137431
2020-10-22-22:01:20 ---epoch:5,train_query_loss:91688.3203125,val_hr:0.22317880794701986,val_ndcg:0.13068611729150287
2020-10-22-22:03:52 ---epoch:6,train_query_loss:91395.125,val_hr:0.22218543046357617,val_ndcg:0.13033219054856107
2020-10-22-22:05:58 ---epoch:7,train_query_loss:91037.2890625,val_hr:0.22185430463576158,val_ndcg:0.13011738007524587
2020-10-22-22:08:44 ---epoch:8,train_query_loss:90469.734375,val_hr:0.2208609271523179,val_ndcg:0.1296990289668689
2020-10-22-22:11:18 ---epoch:9,train_query_loss:89690.3984375,val_hr:0.2208609271523179,val_ndcg:0.12905958705007278
2020-10-22-22:13:06 ---epoch:10,train_query_loss:88698.9765625,val_hr:0.2205298013245033,val_ndcg:0.12903332778626178
2020-10-22-22:15:00 ---epoch:11,train_query_loss:87665.8359375,val_hr:0.21986754966887417,val_ndcg:0.1292114988422799
2020-10-22-22:17:03 ---epoch:12,train_query_loss:86770.078125,val_hr:0.21986754966887417,val_ndcg:0.12934983892771046
2020-10-22-22:18:51 ---epoch:13,train_query_loss:86167.3125,val_hr:0.22152317880794703,val_ndcg:0.13008525763966183
2020-10-22-22:20:23 ---epoch:14,train_query_loss:85764.453125,val_hr:0.22317880794701986,val_ndcg:0.13053552268826238
2020-10-22-22:22:06 ---epoch:15,train_query_loss:85523.2734375,val_hr:0.22350993377483444,val_ndcg:0.1306379674142807
2020-10-22-22:23:44 ---epoch:16,train_query_loss:85367.015625,val_hr:0.22483443708609271,val_ndcg:0.13077299089309138
2020-10-22-22:25:22 ---epoch:17,train_query_loss:85197.7265625,val_hr:0.22417218543046358,val_ndcg:0.13052030479990187
2020-10-22-22:26:59 ---epoch:18,train_query_loss:85096.3671875,val_hr:0.22350993377483444,val_ndcg:0.13028196585099178
2020-10-22-22:28:35 ---epoch:19,train_query_loss:84975.6875,val_hr:0.22417218543046358,val_ndcg:0.13078426496240897
2020-10-22-22:30:11 ---epoch:20,train_query_loss:84862.671875,val_hr:0.223841059602649,val_ndcg:0.13084776233200524
2020-10-22-22:31:48 ---epoch:21,train_query_loss:84768.015625,val_hr:0.22417218543046358,val_ndcg:0.13135564464285407
2020-10-22-22:33:45 ---epoch:22,train_query_loss:84654.1328125,val_hr:0.22417218543046358,val_ndcg:0.13109306008622948
2020-10-22-22:35:22 ---epoch:23,train_query_loss:84537.953125,val_hr:0.22317880794701986,val_ndcg:0.13035239276855853
2020-10-22-22:37:00 ---epoch:24,train_query_loss:84431.765625,val_hr:0.22317880794701986,val_ndcg:0.13061542975525156
2020-10-22-22:38:38 ---epoch:25,train_query_loss:84316.875,val_hr:0.22549668874172185,val_ndcg:0.1310161929641467
2020-10-22-22:40:16 ---epoch:26,train_query_loss:84196.15625,val_hr:0.22549668874172185,val_ndcg:0.1309476362833077
2020-10-22-22:41:54 ---epoch:27,train_query_loss:84096.8671875,val_hr:0.22549668874172185,val_ndcg:0.13105816019423852
2020-10-22-22:43:32 ---epoch:28,train_query_loss:84002.140625,val_hr:0.22450331125827813,val_ndcg:0.1308096907208655
2020-10-22-22:45:10 ---epoch:29,train_query_loss:83867.7421875,val_hr:0.22317880794701986,val_ndcg:0.13044060056482146
