2020-10-22-21:44:48 ---epoch:0,train_query_loss:0,val_hr:0.2162251655629139,val_ndcg:0.12132764778579087
2020-10-22-21:45:21 ---epoch:0,train_query_loss:128232.7734375,val_hr:0.2367549668874172,val_ndcg:0.13286039475225409
2020-10-22-21:46:11 ---epoch:1,train_query_loss:127604.2265625,val_hr:0.23973509933774834,val_ndcg:0.1374016559941993
2020-10-22-21:47:00 ---epoch:2,train_query_loss:126985.8046875,val_hr:0.23874172185430464,val_ndcg:0.13826561837392398
2020-10-22-21:48:58 ---epoch:3,train_query_loss:126376.84375,val_hr:0.2370860927152318,val_ndcg:0.1380318748159172
2020-10-22-21:50:11 ---epoch:4,train_query_loss:125777.03125,val_hr:0.23609271523178807,val_ndcg:0.13738550548850287
2020-10-22-21:50:44 ---epoch:5,train_query_loss:125186.8046875,val_hr:0.23576158940397351,val_ndcg:0.13748790225835084
2020-10-22-21:51:17 ---epoch:6,train_query_loss:124605.609375,val_hr:0.23642384105960265,val_ndcg:0.13719786807891546
2020-10-22-21:51:49 ---epoch:7,train_query_loss:124033.53125,val_hr:0.23609271523178807,val_ndcg:0.13722314926690266
2020-10-22-21:52:20 ---epoch:8,train_query_loss:123470.125,val_hr:0.2367549668874172,val_ndcg:0.13732538494007387
2020-10-22-21:52:55 ---epoch:9,train_query_loss:122915.4453125,val_hr:0.23609271523178807,val_ndcg:0.13685763259167855
2020-10-22-21:55:05 ---epoch:10,train_query_loss:122369.21875,val_hr:0.23543046357615893,val_ndcg:0.1367983613750994
2020-10-22-21:55:38 ---epoch:11,train_query_loss:121831.421875,val_hr:0.23576158940397351,val_ndcg:0.13695924285023803
2020-10-22-21:56:11 ---epoch:12,train_query_loss:121302.046875,val_hr:0.2347682119205298,val_ndcg:0.13685332824627305
2020-10-22-21:56:48 ---epoch:13,train_query_loss:120780.671875,val_hr:0.23410596026490066,val_ndcg:0.1366061692039657
2020-10-22-21:57:21 ---epoch:14,train_query_loss:120267.25,val_hr:0.23410596026490066,val_ndcg:0.13675895333440993
2020-10-22-21:57:53 ---epoch:15,train_query_loss:119761.765625,val_hr:0.23410596026490066,val_ndcg:0.13652856471478403
2020-10-22-21:58:23 ---epoch:16,train_query_loss:119263.9375,val_hr:0.2337748344370861,val_ndcg:0.13642930064148118
2020-10-22-21:59:11 ---epoch:17,train_query_loss:118773.84375,val_hr:0.2337748344370861,val_ndcg:0.1362513838418466
2020-10-22-21:59:47 ---epoch:18,train_query_loss:118290.96875,val_hr:0.2337748344370861,val_ndcg:0.13612882532153334
2020-10-22-22:00:37 ---epoch:19,train_query_loss:117815.5625,val_hr:0.2337748344370861,val_ndcg:0.13603897268421103
2020-10-22-22:01:08 ---epoch:20,train_query_loss:117347.34375,val_hr:0.23344370860927152,val_ndcg:0.13587977106258806
2020-10-22-22:02:08 ---epoch:21,train_query_loss:116886.203125,val_hr:0.23344370860927152,val_ndcg:0.1358699142241053
2020-10-22-22:02:42 ---epoch:22,train_query_loss:116431.96875,val_hr:0.2337748344370861,val_ndcg:0.13596989116286162
2020-10-22-22:03:15 ---epoch:23,train_query_loss:115984.6640625,val_hr:0.23410596026490066,val_ndcg:0.13607385263163368
2020-10-22-22:03:46 ---epoch:24,train_query_loss:115544.21875,val_hr:0.2347682119205298,val_ndcg:0.1362375517473911
2020-10-22-22:04:32 ---epoch:25,train_query_loss:115110.265625,val_hr:0.2347682119205298,val_ndcg:0.13624291954176354
2020-10-22-22:05:00 ---epoch:26,train_query_loss:114682.734375,val_hr:0.2347682119205298,val_ndcg:0.13623336001784186
2020-10-22-22:05:57 ---epoch:27,train_query_loss:114261.671875,val_hr:0.23443708609271524,val_ndcg:0.13614242294989612
2020-10-22-22:07:03 ---epoch:28,train_query_loss:113847.0,val_hr:0.23443708609271524,val_ndcg:0.1361249394727651
2020-10-22-22:07:36 ---epoch:29,train_query_loss:113438.359375,val_hr:0.23443708609271524,val_ndcg:0.1361161977341996
