2020-10-21-23:14:58 ---epoch:0,train_query_loss:0,val_hr:0.17585810713772798,val_ndcg:0.09658008683252096
2020-10-21-23:28:35 ---epoch:0,train_query_loss:107707.6015625,val_hr:0.18354157690650583,val_ndcg:0.10023687024266453
2020-10-21-23:42:21 ---epoch:1,train_query_loss:106181.7578125,val_hr:0.18576762889559098,val_ndcg:0.10123265598004379
2020-10-21-23:56:09 ---epoch:2,train_query_loss:104763.71875,val_hr:0.187060175211834,val_ndcg:0.1015226477758066
2020-10-22-00:10:02 ---epoch:3,train_query_loss:103451.703125,val_hr:0.18734740772655464,val_ndcg:0.10136056339145325
2020-10-22-00:23:41 ---epoch:4,train_query_loss:102233.71875,val_hr:0.18792187275599598,val_ndcg:0.10159263724920059
2020-10-22-00:37:10 ---epoch:5,train_query_loss:101102.953125,val_hr:0.18806548901335632,val_ndcg:0.10144951253987983
2020-10-22-00:50:37 ---epoch:6,train_query_loss:100052.296875,val_hr:0.18842452965675716,val_ndcg:0.10143367531462318
2020-10-22-01:03:50 ---epoch:7,train_query_loss:99075.3671875,val_hr:0.18856814591411747,val_ndcg:0.10156618022325267
2020-10-22-01:16:56 ---epoch:8,train_query_loss:98166.75,val_hr:0.18842452965675716,val_ndcg:0.1015135351029676
2020-10-22-01:29:52 ---epoch:9,train_query_loss:97319.984375,val_hr:0.18792187275599598,val_ndcg:0.1014541648566153
2020-10-22-01:44:02 ---epoch:10,train_query_loss:96531.21875,val_hr:0.18813729714203647,val_ndcg:0.10143481689365894
2020-10-22-01:58:50 ---epoch:11,train_query_loss:95795.875,val_hr:0.18813729714203647,val_ndcg:0.10147776700518166
2020-10-22-02:13:46 ---epoch:12,train_query_loss:95108.65625,val_hr:0.18813729714203647,val_ndcg:0.10147646410975833
2020-10-22-02:28:39 ---epoch:13,train_query_loss:94467.6015625,val_hr:0.18828091339939682,val_ndcg:0.10150755197427727
2020-10-22-02:43:27 ---epoch:14,train_query_loss:93867.75,val_hr:0.18806548901335632,val_ndcg:0.10150431914727441
2020-10-22-02:58:20 ---epoch:15,train_query_loss:93307.3203125,val_hr:0.18813729714203647,val_ndcg:0.10151135077278105
2020-10-22-03:12:55 ---epoch:16,train_query_loss:92782.9140625,val_hr:0.1884963377854373,val_ndcg:0.10159953479348043
2020-10-22-03:27:52 ---epoch:17,train_query_loss:92290.8203125,val_hr:0.18878357030015797,val_ndcg:0.10160946442812822
2020-10-22-03:42:41 ---epoch:18,train_query_loss:91830.3203125,val_hr:0.18878357030015797,val_ndcg:0.1015800324632902
2020-10-22-03:57:35 ---epoch:19,train_query_loss:91398.4609375,val_hr:0.18885537842883815,val_ndcg:0.1015901677917483
2020-10-22-04:12:31 ---epoch:20,train_query_loss:90992.875,val_hr:0.1889271865575183,val_ndcg:0.10164806429033824
2020-10-22-04:27:50 ---epoch:21,train_query_loss:90612.1796875,val_hr:0.18907080281487865,val_ndcg:0.10167105355337824
2020-10-22-04:43:14 ---epoch:22,train_query_loss:90254.640625,val_hr:0.1889989946861985,val_ndcg:0.10162210970562618
2020-10-22-04:58:44 ---epoch:23,train_query_loss:89918.4375,val_hr:0.18907080281487865,val_ndcg:0.10166870325110869
2020-10-22-05:14:07 ---epoch:24,train_query_loss:89602.28125,val_hr:0.18907080281487865,val_ndcg:0.10167135383446951
2020-10-22-05:29:33 ---epoch:25,train_query_loss:89305.046875,val_hr:0.18907080281487865,val_ndcg:0.10162178833636744
2020-10-22-05:44:57 ---epoch:26,train_query_loss:89024.9296875,val_hr:0.1889989946861985,val_ndcg:0.10159012221097961
2020-10-22-06:00:21 ---epoch:27,train_query_loss:88761.0078125,val_hr:0.18907080281487865,val_ndcg:0.10158326617083921
2020-10-22-06:15:45 ---epoch:28,train_query_loss:88512.2890625,val_hr:0.189214419072239,val_ndcg:0.10164719313118226
2020-10-22-06:31:07 ---epoch:29,train_query_loss:88277.8203125,val_hr:0.18907080281487865,val_ndcg:0.10160104390492285
