2020-10-22-21:45:01 ---epoch:0,train_query_loss:0,val_hr:0.23079470198675497,val_ndcg:0.1335707758674261
2020-10-22-21:47:15 ---epoch:0,train_query_loss:116203.375,val_hr:0.23112582781456953,val_ndcg:0.13431883260606117
2020-10-22-21:50:38 ---epoch:1,train_query_loss:97734.5703125,val_hr:0.22847682119205298,val_ndcg:0.1332928988812993
2020-10-22-21:53:07 ---epoch:2,train_query_loss:92166.703125,val_hr:0.226158940397351,val_ndcg:0.132459212959631
2020-10-22-21:57:07 ---epoch:3,train_query_loss:91374.75,val_hr:0.22450331125827813,val_ndcg:0.13173137755584616
2020-10-22-21:59:32 ---epoch:4,train_query_loss:91149.40625,val_hr:0.2228476821192053,val_ndcg:0.13107173698728822
2020-10-22-22:02:26 ---epoch:5,train_query_loss:90922.6953125,val_hr:0.223841059602649,val_ndcg:0.13114547202824534
2020-10-22-22:04:50 ---epoch:6,train_query_loss:90674.4140625,val_hr:0.22218543046357617,val_ndcg:0.13045974976007396
2020-10-22-22:07:41 ---epoch:7,train_query_loss:90400.328125,val_hr:0.22185430463576158,val_ndcg:0.1300540805689853
2020-10-22-22:09:52 ---epoch:8,train_query_loss:89966.984375,val_hr:0.2208609271523179,val_ndcg:0.12946675348319
2020-10-22-22:12:09 ---epoch:9,train_query_loss:89384.7578125,val_hr:0.2208609271523179,val_ndcg:0.12915027493283845
2020-10-22-22:15:09 ---epoch:10,train_query_loss:88562.6875,val_hr:0.2205298013245033,val_ndcg:0.12917695126157402
2020-10-22-22:17:14 ---epoch:11,train_query_loss:87658.625,val_hr:0.21986754966887417,val_ndcg:0.12911087466723778
2020-10-22-22:19:07 ---epoch:12,train_query_loss:86738.5390625,val_hr:0.2195364238410596,val_ndcg:0.12935360841737487
2020-10-22-22:20:49 ---epoch:13,train_query_loss:86058.25,val_hr:0.2208609271523179,val_ndcg:0.12990422172540325
2020-10-22-22:23:20 ---epoch:14,train_query_loss:85578.359375,val_hr:0.22251655629139072,val_ndcg:0.13036503656480083
2020-10-22-22:25:07 ---epoch:15,train_query_loss:85288.8046875,val_hr:0.22317880794701986,val_ndcg:0.1305223716142272
2020-10-22-22:26:53 ---epoch:16,train_query_loss:85109.5703125,val_hr:0.22483443708609271,val_ndcg:0.130907912054348
2020-10-22-22:28:39 ---epoch:17,train_query_loss:84926.609375,val_hr:0.22417218543046358,val_ndcg:0.13062619485439353
2020-10-22-22:30:24 ---epoch:18,train_query_loss:84823.0234375,val_hr:0.223841059602649,val_ndcg:0.13047475745403866
2020-10-22-22:32:07 ---epoch:19,train_query_loss:84708.3359375,val_hr:0.22450331125827813,val_ndcg:0.13076233303049037
2020-10-22-22:33:55 ---epoch:20,train_query_loss:84590.0546875,val_hr:0.22350993377483444,val_ndcg:0.13063029948746044
2020-10-22-22:36:06 ---epoch:21,train_query_loss:84501.84375,val_hr:0.22417218543046358,val_ndcg:0.1309285956032834
2020-10-22-22:37:54 ---epoch:22,train_query_loss:84394.6875,val_hr:0.22483443708609271,val_ndcg:0.13124946145715938
2020-10-22-22:40:26 ---epoch:23,train_query_loss:84289.6640625,val_hr:0.223841059602649,val_ndcg:0.13081912914212726
2020-10-22-22:42:14 ---epoch:24,train_query_loss:84194.4296875,val_hr:0.223841059602649,val_ndcg:0.13096987258348763
2020-10-22-22:44:01 ---epoch:25,train_query_loss:84089.0,val_hr:0.226158940397351,val_ndcg:0.13133553109305757
2020-10-22-22:45:43 ---epoch:26,train_query_loss:83979.0703125,val_hr:0.226158940397351,val_ndcg:0.1315205584302606
2020-10-22-22:48:01 ---epoch:27,train_query_loss:83890.96875,val_hr:0.226158940397351,val_ndcg:0.13135370989127962
2020-10-22-22:49:46 ---epoch:28,train_query_loss:83802.0625,val_hr:0.22549668874172185,val_ndcg:0.13115282326281547
2020-10-22-22:51:31 ---epoch:29,train_query_loss:83683.7265625,val_hr:0.22417218543046358,val_ndcg:0.13064976465995046
