2020-10-21-23:13:07 ---epoch:0,train_query_loss:0,val_hr:0.2314569536423841,val_ndcg:0.1336207848746446
2020-10-21-23:15:12 ---epoch:0,train_query_loss:109283.203125,val_hr:0.2324503311258278,val_ndcg:0.13462965351737607
2020-10-21-23:17:22 ---epoch:1,train_query_loss:94868.25,val_hr:0.2294701986754967,val_ndcg:0.13356458935117876
2020-10-21-23:19:33 ---epoch:2,train_query_loss:90552.6953125,val_hr:0.22649006622516557,val_ndcg:0.13260718888581582
2020-10-21-23:21:43 ---epoch:3,train_query_loss:89307.59375,val_hr:0.22582781456953643,val_ndcg:0.13212925315094698
2020-10-21-23:23:54 ---epoch:4,train_query_loss:89148.734375,val_hr:0.22350993377483444,val_ndcg:0.1310452733822657
2020-10-21-23:26:05 ---epoch:5,train_query_loss:89000.6015625,val_hr:0.22317880794701986,val_ndcg:0.1309096906474834
2020-10-21-23:28:16 ---epoch:6,train_query_loss:88830.3515625,val_hr:0.22317880794701986,val_ndcg:0.13060579350880844
2020-10-21-23:30:27 ---epoch:7,train_query_loss:88689.0,val_hr:0.2228476821192053,val_ndcg:0.1302465053133578
2020-10-21-23:32:39 ---epoch:8,train_query_loss:88475.75,val_hr:0.22251655629139072,val_ndcg:0.12997283225930673
2020-10-21-23:34:47 ---epoch:9,train_query_loss:88197.609375,val_hr:0.22152317880794703,val_ndcg:0.12939125205730936
2020-10-21-23:36:58 ---epoch:10,train_query_loss:87750.7421875,val_hr:0.22119205298013245,val_ndcg:0.12923141204689853
2020-10-21-23:39:09 ---epoch:11,train_query_loss:87276.0078125,val_hr:0.22185430463576158,val_ndcg:0.12940277183627208
2020-10-21-23:41:16 ---epoch:12,train_query_loss:86618.4609375,val_hr:0.22152317880794703,val_ndcg:0.12947751928423898
2020-10-21-23:43:43 ---epoch:13,train_query_loss:85956.046875,val_hr:0.2208609271523179,val_ndcg:0.12970491339622606
2020-10-21-23:45:52 ---epoch:14,train_query_loss:85297.140625,val_hr:0.22119205298013245,val_ndcg:0.12984851370892092
2020-10-21-23:47:53 ---epoch:15,train_query_loss:84829.8828125,val_hr:0.22218543046357617,val_ndcg:0.13019408968691049
2020-10-21-23:49:52 ---epoch:16,train_query_loss:84541.4140625,val_hr:0.223841059602649,val_ndcg:0.13073655874548923
2020-10-21-23:51:52 ---epoch:17,train_query_loss:84293.953125,val_hr:0.22350993377483444,val_ndcg:0.13066213339248975
2020-10-21-23:53:50 ---epoch:18,train_query_loss:84162.84375,val_hr:0.2228476821192053,val_ndcg:0.13046326030128738
2020-10-21-23:55:49 ---epoch:19,train_query_loss:84052.859375,val_hr:0.22417218543046358,val_ndcg:0.13075688657609427
2020-10-21-23:57:49 ---epoch:20,train_query_loss:83938.203125,val_hr:0.22549668874172185,val_ndcg:0.13121559480015954
2020-10-21-23:59:48 ---epoch:21,train_query_loss:83856.4140625,val_hr:0.22450331125827813,val_ndcg:0.13119392320766537
2020-10-22-00:01:48 ---epoch:22,train_query_loss:83771.53125,val_hr:0.22549668874172185,val_ndcg:0.13191910202126064
2020-10-22-00:03:46 ---epoch:23,train_query_loss:83681.015625,val_hr:0.2251655629139073,val_ndcg:0.13151760104997495
2020-10-22-00:05:45 ---epoch:24,train_query_loss:83606.1640625,val_hr:0.2251655629139073,val_ndcg:0.13164941438916825
2020-10-22-00:07:45 ---epoch:25,train_query_loss:83517.1484375,val_hr:0.22582781456953643,val_ndcg:0.13169817934855932
2020-10-22-00:09:44 ---epoch:26,train_query_loss:83423.5,val_hr:0.22649006622516557,val_ndcg:0.13198383583793255
2020-10-22-00:11:46 ---epoch:27,train_query_loss:83355.28125,val_hr:0.22649006622516557,val_ndcg:0.13184586019782388
2020-10-22-00:13:45 ---epoch:28,train_query_loss:83288.375,val_hr:0.22582781456953643,val_ndcg:0.13161100569670503
2020-10-22-00:15:44 ---epoch:29,train_query_loss:83190.3359375,val_hr:0.22450331125827813,val_ndcg:0.13097825703627888
