2020-10-21-23:13:07 ---epoch:0,train_query_loss:0,val_hr:0.2347682119205298,val_ndcg:0.13453045176391454
2020-10-21-23:14:06 ---epoch:0,train_query_loss:112527.546875,val_hr:0.23410596026490066,val_ndcg:0.1343753678182347
2020-10-21-23:15:07 ---epoch:1,train_query_loss:112469.46875,val_hr:0.23543046357615893,val_ndcg:0.13482682959719647
2020-10-21-23:16:07 ---epoch:2,train_query_loss:112470.5703125,val_hr:0.23410596026490066,val_ndcg:0.1344923317260493
2020-10-21-23:17:09 ---epoch:3,train_query_loss:112450.4296875,val_hr:0.23443708609271524,val_ndcg:0.1346055013637931
2020-10-21-23:18:11 ---epoch:4,train_query_loss:112430.234375,val_hr:0.2337748344370861,val_ndcg:0.13411625428045568
2020-10-21-23:19:12 ---epoch:5,train_query_loss:112370.171875,val_hr:0.2337748344370861,val_ndcg:0.13408139895266777
2020-10-21-23:20:15 ---epoch:6,train_query_loss:112346.4921875,val_hr:0.2324503311258278,val_ndcg:0.13351399560072635
2020-10-21-23:21:17 ---epoch:7,train_query_loss:112369.5,val_hr:0.2337748344370861,val_ndcg:0.13399307419210835
2020-10-21-23:22:19 ---epoch:8,train_query_loss:112353.09375,val_hr:0.2324503311258278,val_ndcg:0.1335395887191536
2020-10-21-23:23:22 ---epoch:9,train_query_loss:112279.0,val_hr:0.2324503311258278,val_ndcg:0.13344301257122043
2020-10-21-23:24:24 ---epoch:10,train_query_loss:112295.6875,val_hr:0.23278145695364238,val_ndcg:0.1333199269834015
2020-10-21-23:25:26 ---epoch:11,train_query_loss:112257.921875,val_hr:0.2324503311258278,val_ndcg:0.13323481104986254
2020-10-21-23:26:33 ---epoch:12,train_query_loss:112285.203125,val_hr:0.23311258278145697,val_ndcg:0.13345791278803756
2020-10-21-23:27:35 ---epoch:13,train_query_loss:112286.703125,val_hr:0.2324503311258278,val_ndcg:0.13318974771332745
2020-10-21-23:28:37 ---epoch:14,train_query_loss:112199.46875,val_hr:0.23178807947019867,val_ndcg:0.13283804395796842
2020-10-21-23:29:44 ---epoch:15,train_query_loss:112204.359375,val_hr:0.2314569536423841,val_ndcg:0.1326543037969318
2020-10-21-23:30:46 ---epoch:16,train_query_loss:112061.109375,val_hr:0.22913907284768212,val_ndcg:0.13164270912935683
2020-10-21-23:31:53 ---epoch:17,train_query_loss:112045.6640625,val_hr:0.2294701986754967,val_ndcg:0.1317521193496817
2020-10-21-23:32:56 ---epoch:18,train_query_loss:111966.3828125,val_hr:0.22880794701986754,val_ndcg:0.13138194219786392
2020-10-21-23:33:58 ---epoch:19,train_query_loss:111876.984375,val_hr:0.2294701986754967,val_ndcg:0.13171750671341254
2020-10-21-23:34:58 ---epoch:20,train_query_loss:111777.0390625,val_hr:0.2281456953642384,val_ndcg:0.13142839032426276
2020-10-21-23:36:12 ---epoch:21,train_query_loss:111699.9453125,val_hr:0.22781456953642384,val_ndcg:0.1311352974588251
2020-10-21-23:37:14 ---epoch:22,train_query_loss:111646.625,val_hr:0.2281456953642384,val_ndcg:0.1314450043188398
2020-10-21-23:38:27 ---epoch:23,train_query_loss:111630.140625,val_hr:0.22682119205298013,val_ndcg:0.13053738198605244
2020-10-21-23:39:27 ---epoch:24,train_query_loss:111491.1640625,val_hr:0.22549668874172185,val_ndcg:0.12985752656831628
2020-10-21-23:40:24 ---epoch:25,train_query_loss:111352.6015625,val_hr:0.226158940397351,val_ndcg:0.1299829703831467
2020-10-21-23:41:20 ---epoch:26,train_query_loss:111317.375,val_hr:0.22549668874172185,val_ndcg:0.12963547422175561
2020-10-21-23:42:33 ---epoch:27,train_query_loss:111293.40625,val_hr:0.22483443708609271,val_ndcg:0.1292657273068706
2020-10-21-23:43:30 ---epoch:28,train_query_loss:111133.0859375,val_hr:0.2228476821192053,val_ndcg:0.12825044633380683
2020-10-21-23:44:26 ---epoch:29,train_query_loss:111051.03125,val_hr:0.223841059602649,val_ndcg:0.12887917267507532
